,Unnamed: 0,Nombre,Página Web,Email,Entidad,Municipio,Enlace SIC,Descripción
10,10,San Marcos,,,Chiapas,Tuxtla Gutiérrez,http://sic.gob.mx/ficha.php?table=catedral&table_id=7,"Fue construida en la segunda mitad del siglo XVI y a lo largo de su historia sufrió varias remodelaciones que acabaron con su imagen original. La más reciente de ellas fue en el año de 1982, creada por el arquitecto Ignacio Díaz-Morales, quien la dotó de una fachada y un gran campanario anexo, siguiendo un estilo que trata de recordar a los templos coloniales de la región, aunque es decididamente moderno. De la fachada destaca el magnífico carillón de la torre, que fue hecho en Alemania y consta de 48 campanas con un sistema musical que funciona cada hora con una melodía que acompaña a las figuras de los doce apóstoles que desfilan sobre un pedestal en el muro de la torre.

Fuente: Guía México desconocido, núm. 63, Chiapas/octubre 2000"
11,11,San Antonio de Padua ,,,Chihuahua,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=catedral&table_id=10,Esta catedral no es considerada monumento en términos de Ley.
12,12,Nuestra Señora de Regla,,,Chihuahua,Chihuahua,http://sic.gob.mx/ficha.php?table=catedral&table_id=81,"El primer templo de la ciudad de Chihuahua fue la capilla que se construyó en el mismo lugar en el que hoy se encuentra la catedral. Fue construida rústicamente con adobe en el año de 1703. La parroquia de Nuestra Señora de la Regla y San Francisco de Asís nació en 1709 con el inicio de la explotación del mineral. El templo fue construido entre 1725 y 1760.

El estilo arquitectónico del edificio está catalogado como barroco rico. El templo consta de tres naves; una gran nave central y dos laterales de menores dimensiones. Tiene adosada una capilla y dos torres de 40 metros de altura que alojan las campanas.

La fachada está labrada en cantera rosa y abriga profusas aplicaciones de follaje, frutas y flores. Está dividida en dos grandes cuerpos y un remate, que en realidad forma casi un tercer cuerpo.

La gran puerta es de madera labrada, enmarcada por un arco cuya clave es una tiara con las llaves de San Pedro sostenida por dos querubines.

El acceso al templo es por medio de una puerta con un arco poligonal en cuya clave se colocó el escudo pontificio. En su interior se encuentran tres naves estilo dórico, un altar principal de cantera oculto por otro de mármol de Carrara.

La catedral posee un órgano monumental traído de Alemania, el cual es considerado como uno de los mejores ejemplares de todo México.

La cúpula es semejante a la de la Basílica de San Pedro en Roma. Es octagonal, apoyada sobre un tambor en cuyos lados se abren ventanas octagonales. El inmueble cuenta con un Museo de Arte Sacro."
13,13,Nuestra Señora de Guadalupe ,,,Chihuahua,Hidalgo del Parral,http://sic.gob.mx/ficha.php?table=catedral&table_id=11,"Singular construcción realizada en piedra hacia principios del siglo XX. En 1946 a iniciativa del padre Agustín Pelayo empezaron los trabajos de reconstrucción, decidiéndose que era la demolición total debido a que los cimientos y muros estaban en pésimas condiciones. El 22 de octubre del mismo año se colocó la primera piedra del nuevo santuario. Hasta el 22 de octubre de 1952 se colocó la última piedra del santuario y en 1957 se empiezan los trabajos de mármol del altar. En 1959 se terminaron los altares laterales y en 1962 se instala el comulgatorio de mármol de cantera. No es considerada monumento en términos de Ley.

Fuente: Gobierno del Estado de Chihuahua"
14,14,Nuestra Señora de Guadalupe ,,,Chihuahua,Juárez,http://sic.gob.mx/ficha.php?table=catedral&table_id=82,"Se encuentra ubicada junto a la Misión más antigua de la región de el sur de Estados Unidos y el norte de México, la Misión de Guadalupe, fundada el 8 de diciembre de 1658. La catedral se erige por el crecimiento de la feligresía y a iniciativa del padre Baudelio Pelayo, quién proyectó construir un templo nuevo que preservara la histórica Misión. La construcción del nuevo templo comenzó en 1941. La consagración de este templo aún inconcluso (las dos grandes torres no se habían montado sobre la nave principal) la realizó el obispo de Chihuahua Antonio Guízar y Valencia el 12 de diciembre de 1945. Finalmente la edificación del edificio anexo a la Misión de Guadalupe que hoy conocemos como Catedral de Nuestra Señora de Guadalupe, concluyó en 1957 y el 7 de septiembre del mismo año se convirtió en la sede de la diócesis de Ciudad Juárez. Este templo a diferencia del edificio de la Misión pronto presentó fallas estructurales, por lo que se cerró para reconstruirlo en la primavera de 1973.

Fuente: Universidad Autónoma de Ciudad Juárez"
15,15,Nuestra Señora de la Medalla Milagrosa ,,,Chihuahua,Nuevo Casas Grandes,http://sic.gob.mx/ficha.php?table=catedral&table_id=3,No es considerada monumento en términos de Ley.
16,16,Nuestra Señora de Balvanera ,http://www.elcentrohistorico.com.mx/lugares-templo-del-convento-de-balvanera.html,,Ciudad de México,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=catedral&table_id=15,"La iglesia se terminó de construir en 1671. Cuenta con un campanario revestido de azulejos. Su estilo es barroco sobrio y las portadas corresponden al neoclásico. El convento fue demolido en 1929, sólo quedó el templo, que actualmente está a cargo de la comunidad maronita. Declarado monumento el 30 de agosto de 1932."
17,17,Catedral Metropolitana La Asunción de la Virgen María,,,Ciudad de México,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=catedral&table_id=84,"Sede episcopal novohispan edificada ex profeso para catedral.

La construcción de la Catedral Metropolitana de la Ciudad de México, la primera en México y América; se inició en 1563 con el proyecto del arquitecto Claudio de Arciniegas hasta la intervención de Manuel Tolsá, en 1791, en la fachada principal. Alrededor de 200 años de edificación dan cuenta de diversos estilos arquitectónicos del recinto: herreriano, barroco o churrigeresco. Sobresalen en la arquitectura los altorrelieves y las columnas salomónicas.

La descripción y significado de imágenes de santos como la Virgen María, San Pedro o San Pablo, que aparecen en los muros, fachadas y óleos, que contienen símbolos de la vida, obra e ideas de los evangelizadores, forman parte de la voz iconográfica de la Catedral. Resguarda pinturas de caballete realizadas por Juan Correa y Cristóbal Villalpando, realizadas a finales de siglo XVII y principios del XVIII.

Los dos órganos monumentales del coro, el de fabricación española y el que está hecho en México, datan del siglo XVIII.

La cripta, localizada en el sótano de la catedral, aloja entierros de los arzobispos que han participado en la vida eclesiástica de la Catedral. Como la del primer obispo Don Juan de Zumárraga, cuyos restos descansan en este lugar.

Fuente: Dirección General de Sitios y Monumentos del Patrimonio Cultural 2004"
18,18,Porta Coeli,http://www.elcentrohistorico.com.mx/lugares-templo-del-colegio-de-porta-coeli.html,,Ciudad de México,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=catedral&table_id=18,Se encuentra muy cerca del Zócalo. Originalmente era un colegio de dominicos del que ahora sólo queda esta pequeña iglesia que fue restaurada con estilo neoclásico. Tiene como particularidad escritos en árabe y griego en algunos mosaicos y en su fachada. Dentro de la iglesia existen imágenes de la virgen de Guadalupe.
19,19,Catedral Basílica Menor de la Inmaculada Concepción ,,,Durango,Durango,http://sic.gob.mx/ficha.php?table=catedral&table_id=21,"Se ubica en el centro histórico de la ciudad de Durango, frente a la Plaza de Armas. Es la representación arquitectónica más importante del estado y una de las edificaciones más bellas del norte del país. Dentro se encuentra la Galería Episcopal (Museo de Arte Sacro).
Adentrarse en ella es una viaje en el tiempo con historias como el ""Confesionario que movió el diablo"" o la leyenda romántica de ""La monja de Catedral""."
20,20,Parroquia del Sagrado Corazón de Jesús - Sagrario Catedral,,,Guanajuato,Celaya,http://sic.gob.mx/ficha.php?table=catedral&table_id=30,
21,21,Catedral Basílica Metropolitana de la Madre Santísima de la Luz,,,Guanajuato,León,http://sic.gob.mx/ficha.php?table=catedral&table_id=29,"La Madre Santísima de la Luz es una advocación mariana venerada en la Ciudad de León, siendo la imagen original proveniente de Sicilia la que corona el altar mayor de esta catedral."
22,22,Nuestra Señora de la Soledad,,,Guerrero,Acapulco de Juárez,http://sic.gob.mx/ficha.php?table=catedral&table_id=35,Siglo XX
23,23,Santa María de la Asunción,,,Guerrero,Chilapa de Álvarez,http://sic.gob.mx/ficha.php?table=catedral&table_id=33,Siglo XVI-XIX
24,24,La Asunción de María,,,Guerrero,Chilpancingo de los Bravo,http://sic.gob.mx/ficha.php?table=catedral&table_id=32,"En esta parroquia, en septiembre de 1813 tuvo lugar el Primer Congreso de Anáhuac."
25,25,Catedral Fray Juan Bautista Moya,,,Guerrero,Pungarabato,http://sic.gob.mx/ficha.php?table=catedral&table_id=31,Siglo XX
26,26,San Agustín,,,Guerrero,Tlapa de Comonfort,http://sic.gob.mx/ficha.php?table=catedral&table_id=34,
27,27,San Agustín,,,Hidalgo,Huejutla de Reyes,http://sic.gob.mx/ficha.php?table=catedral&table_id=36,"La Iglesia y exconvento de San Agustín es una estructura que data del siglo XVI y es considerada monumento nacional, es de estilo plateresco, edificada sobre un basamento de una pirámide indígena. Se utilizó piedra, laja natural, arco de medio punto con españada, su bóveda es de cañón corrido y tiene una pila bautismal de piedra labrada con motivos vegetales de gran sabor indígena. La Catedral, fue erigida en 1545."
28,28,San José,,,Hidalgo,Tula de Allende,http://sic.gob.mx/ficha.php?table=catedral&table_id=37,"Fue originalmente la iglesia de un convento levantado por los evangelizadores de la orden franciscana durante la época de la conquista. Fue construido entre 1543-1554, de estilo Gótico-plateresco, cuenta con gran atrio, de terraplen artificial. Lo cierra un muro almenado cuyo acceso es por un arco trilobulado, obra del siglo XVII. Al centro del atrio se ubica una cruz tallada en cantera sobre un pedestal, colocada para conmemorar la llegada de los misioneros franciscanos. Elevada a rango de catedral en 1961 y dedicada al Patriarca San José, fue de los primeros conventos levantados en México y uno de los más representativos de ese periodo."
29,29,Nuestra Señora de los Ángeles,https://www.facebook.com/pages/Iglesia-De-Nuestra-Se%C3%B1ora-De-Los-Angeles-Tulancingo-De-Bravo/240549582691806,,Hidalgo,Tulancingo de Bravo,http://sic.gob.mx/ficha.php?table=catedral&table_id=38,"Fundada en 1528 por los franciscanos. De su estructura antigua no queda prácticamente nada ya que fue remodelada en 1788 por el célebre arquitecto José Damián Ortiz de Castro, dándole su estilo neoclásico a la sobria fachada y a la decoración del interior y el altar principal. Es una obra en cantera en cuyo interior destaca una pila de agua bendita, labrada en piedra y un púlpito de madera con decoración en relieve. El órgano tubular de la Catedral es uno de los pocos que están completos y activos. Anexo al templo se encuentra el convento de San Francisco, el cual tiene cinco arcadas de medio punto y corredores cubiertos por techo de viguería. La Catedral de Tulancingo es imponente por su sencillez, su conjunto y sus detalles, principalmente sus dos enormes columnas de estilo jónico romano de 17 metros de altura. Se encuentra en el centro, frente al jardín La Floresta.
Visitas diariamente de 8 a 18 hrs.

Información tomada de http://www.tulancingocultural.cc/historico/catedral/index.htm"
30,30,Catedral Santísima Trinidad,,,Jalisco,Autlán de Navarro,http://sic.gob.mx/ficha.php?table=catedral&table_id=41,
31,31,Señor San José,,,Jalisco,Zapotlán el Grande,http://sic.gob.mx/ficha.php?table=catedral&table_id=42,
32,32,La Asunción de María,,,Jalisco,Guadalajara,http://sic.gob.mx/ficha.php?table=catedral&table_id=40,"Se comenzó a construir en 1561 y fue consagrada en 1716. Ha experimentado muchas transformaciones. La fachada muestra varios estilos arquitectónicos y las torres actuales -símbolo de la ciudad y con 65 m de altura- fueron construidas en el siglo XIX, pues las originales se derrumbaron a causa de un temblor en 1818. Con mezcla de influencias góticas, barrocas, moriscas y neoclásicas, las tres naves constan de seis tramos altos y espaciosos, cubiertos con bóvedas góticas y nervaduras. El interior es de estilo gótico y en la sacristía se ve La Purísima Concepción, obra pictórica de Bartolomé Esteban Murillo. Aquí se localiza el segundo órgano más grande de la República Mexicana, de origen francés.

Fuente: http://www.jornada.unam.mx/viajera/?destino=jalisco&seccion=07"
33,33,Nuestra Señora de San Juan de los Lagos (Catedral-Basílica),,,Jalisco,San Juan de los Lagos,http://sic.gob.mx/ficha.php?table=catedral&table_id=39,
34,34,San Francisco de Asis,,,México,Atlacomulco,http://sic.gob.mx/ficha.php?table=catedral&table_id=22,
35,35,San Buenaventura,,,México,Cuautitlán,http://sic.gob.mx/ficha.php?table=catedral&table_id=24,"La catedral de San Buenaventura, comúnmente conocida como catedral de Cuautitlán, es un templo católico, parte del conjunto conventual del mismo nombre en el Municipio de Cuautitlán, Estado de México. Fue designada como catedral el 5 de febrero de 1979 con la erección de la diócesis de Cuautitlán."
36,36,Sagrado Corazón de Jesús,http://www.diocesis-ecatepec.org.mx,,México,Ecatepec de Morelos,http://sic.gob.mx/ficha.php?table=catedral&table_id=26,"La construcción de la nueva catedral de la Diócesis de Ecatepec se realizó en un tiempo record, inicio el día 6 de enero de 1998, terminando con la fiesta de consagración el día 25 de marzo de 1999. No es considerada monumento en términos de Ley."
37,37,Jesús Señor de la Misericordia,https://www.facebook.com/CatedralMisericordiaNeza/,,México,Nezahualcóyotl,http://sic.gob.mx/ficha.php?table=catedral&table_id=28,
38,38,Corpus Cristi,,,México,Tlalnepantla de Baz,http://sic.gob.mx/ficha.php?table=catedral&table_id=25,"Fue consagrada el 23 de agosto de 1964. Anteriormente se fundó en el lugar, el Convento de San Francisco, levantado por la orden franciscana en el año de 1525 de acuerdo con la traducción de la fecha que proporciona el topónimo de Tenayuca ubicado en la Porciúncula. Posteriormente comenzó a ser construido un templo de techo plano, con vigas de madera, cuya altura era mucho menor que la actual, el cual llevó por nombre Corpus Christi. Después del incendio del año 1666, sería modificada su estructura y arquitectura. Durante el temblor de principios del siglo XX, el edificio sufriría grandes daños, por lo cual hubo la necesidad de efectuar reparaciones que se pueden constatar en las paredes del lado norte. Entre algunas de las piedras utilizadas para su levantamiento, se pueden observar otras con glifos y con grecas de la época indígena y colonial. En el año de 1622, se inició la construcción del altar al Santo Patrono de Tlalnepantla, San Isidro Labrador, de acuerdo con los archivos parroquiales del Sagrario de Tlalnepantla.
Es un templo de nave de cañón corrido, con la disposición clásica de los monasterios del siglo XVI, con una nave central, adosada a un claustro y un atrio a las afueras de ambos edificios. En su porciúncula o puerta norte fueron grabados por manos indígenas los glifos de los pueblos de Tenayuca y Teocalhueyecan, que fueron congregados por los frailes franciscanos en medio de ambos pueblos, formando Tlalnepantla, ""tierra de en medio""."
39,39,San José,http://www.diocesistoluca.org.mx/,catedral@diocesistoluca.org.mx ,México,Toluca,http://sic.gob.mx/ficha.php?table=catedral&table_id=23,"La Catedral de San José de Toluca, es el templo católico levantado sobre lo que fue el convento franciscano de la Asunción. Está ubicada en el centro de la ciudad de Toluca al sur de la Plaza de Los Mártires.
La Iglesia Catedral es la sede, y la cátedra del Obispo de la Diócesis de Toluca. Este recinto catedralicio fue erigido bajo el protección y patronazgo de San José de Nazaret que al mismo tiempo es santo patrón de la ciudad."
40,40,Nuestra Señora de la Asunción,http://web.archive.org/web/20090520100553/http://apatzingan.com.mx/historia/iahistc.html,,Michoacán de Ocampo,Apatzingán,http://sic.gob.mx/ficha.php?table=catedral&table_id=48,"Anterior al actual edificio, existía otro de sencillas proporciones, posiblemente levantado en el siglo XVI. El antiguo edificio, de adobe y piedra, constaba de una sola nave que soportaba un techo de dos aguas cubierto por teja. La portada, muy sencilla, se componía por un arco de medio punto, rematado por una cornisa y una pequeña ventana en el coro. Del lado derecho, se levantaba la torre campanario, de tres cuerpos y cupulín, la cual contaba con un reloj. A comienzos de la segunda mitad del siglo XX, y con el crecimiento de la ciudad y la necesidad de contar con un mayor espacio para la feligresía, se decidió demoler la anterior construcción para levantar una nueva obra que estuviera acorde con el ideal de progreso que predominaba en la región. Se decidió construirla en estilo modernista que estaba en boga en aquel entonces. El nuevo edificio fue elevado al rango de catedral el 24 de julio de 1962 con la creación de la Diócesis de Apatzingán."
41,41,Cristo Rey,,,Michoacán de Ocampo,Lázaro Cárdenas,http://sic.gob.mx/ficha.php?table=catedral&table_id=49,
42,42,San Salvador,,,Michoacán de Ocampo,Morelia,http://sic.gob.mx/ficha.php?table=catedral&table_id=46,"El Exterior
Es un enorme coloso de cantera rosa con dos grandes torres de 66.8 m de altura, de estilo barroco tablereado. Posee una triple fachada (una frontal y dos laterales) con retablos labrados. El templo, tiene una planta del tipo cruz latina con una longitud de 96 m y un ancho total de 62 m. Limitando al atrio se encuentra una bella reja de hierro forjado que data del siglo XIX.

Fachadas:
Fachada tripartita:La fachada principal de la catedral, que se encuentra compuesta por tres cuerpos (niveles horizontales definidos por cornisas) y corresponde al estilo barroco, da a la avenida principal de la ciudad (Avenida Madero), y no a la plaza, como es costumbre en la mayor parte de las ciudades novohispanas. La portada se encuentra decorada con esculturas y bajorrelieves que aluden a la Resurrección, la Adoración de los Pastores, así como la Adoración de los Magos. Hay además estatuas de San Pedro, San Pablo, San Juan Bautista, San Miguel Arcángel, Santa Águeda y Santa Rosa de Lima.
Fachadas Laterales
Portada Oriente
Portada Poniente

Torres:
Por otra parte, las dos torres gemelas, cada una de tres cuerpos y 62 m de altura (66 si se consideran las cruces en los remates) franquean la portada del templo, lo que le da al edificio un aspecto imponente, pero no exento de gracia y equilibrio. Una de las torres tiene como remate una cruz de hierro, que simboliza la naturaleza divina de Cristo, mientras que la otra torre tiene por remate una cruz de piedra, que representa la naturaleza humana de Jesús.
Torre Oriente
Torre Poniente

Cúpula Central:
La cúpula principal se encuentra revestida por azulejos y por dentro está soportada por un enorme tambor circular. También existe otra cúpula que corona una de las capillas de la construcción.

Cúpula del Sagrario

El Interior
El interior del edificio contrasta con el exterior, ya que es de estilo dórico y consta de tres naves, estando la central sostenida por catorce columnas. Además, anexas a las naves laterales, se tienen cuatro capillas delicadamente decoradas y múltiples retablos neoclásicos a lo largo de las dos naves laterales.

Naves:
Nave Central:
En el altar mayor se tiene un baldaquín, conformado por cuatro columnas que soportan una cúpula, y en su interior un manifestador de plata. Por detrás de éste, se encuentra un amplio coro para los canónigos, contrario a lo que ocurre en muchas otras catedrales, que dicho coro se encuentra en la parte central de la nave principal. Este hecho hace que la catedral de Morelia tenga amplio espacio para los feligreses en la nave principal. En la nave central se encuentra un pulpito realizado en madera tallada en estilo neogótico.

Naves Laterales:
Dos naves laterales a la central, poseen altares neoclásicos dedicados a diversos santos, al fondo las naves se encuentran rematadas por grandes altares, uno del lado oriente dedicado al Señor de La Sacristía y otro del lado poniente dedicado al Sagrado Corazón patrono de la Ciudad.
Nave lateral Oriente:
Nave lateral Poniente:

Capillas:
La Catedral posee cuatro capillas, ubicadas al comienzo de las naves laterales, 2 capillas justamente debajo de las torres y las otras dos contiguas. Las capillas del lado oriente están dedicadas a la virgen de la Soledad y al Sagrario de la Catedral. Del lado poniente una está dedicada a la Sagrada Familia y la otra es una capilla funeraria que alberga sepulcros en mármol de Arzobispos.
Capilla del Sagrario
Capilla de la Soledad
Capilla de la Sagrada Familia o de los Mártires
Capilla de San Jerónimo

Salas:
Posee varias salas entre las que se encuentran la Sala Capitular, La Sacristía, entre otras, donde se encuentran antiguas pinturas y mobiliarios del siglo XVIII y XIX.
Sala Sacristía
Sala Capitular


Obra Artística
Aunque la catedral moreliana fue víctima de grandes saqueos durante la Guerra de Independencia de México y la Revolución mexicana, aún conserva grandes tesoros. Obras de gran valor artístico, religioso e histórico.

Orfebrería:
Manifestador: de plata que mide 3.19 m de altura ornado con 29 estatuillas y 42 relieves sobredorados que comunican un mensaje sobre la presencia eucarística de Cristo.
Pila Bautismal: pieza de fina platería de fuerte matiz neoclásico. En ella fue bautizado Agustín de Iturbide y José María Morelos y Pavón.

Esculturas:
También se tienen múltiples esculturas en el interior, sobresaliendo un Cristo, conocido como el Señor de la Sacristía, que data del siglo XVI.
Señor de la Sacristía
Sagrado Corazón

Cerámicas:
Jarrones o tibores chinos

Pinturas al oleo:
se cuenta con pinturas del más destacado pintor novohispano, Miguel de Cabrera, así como también del pintor Juan Rodríguez Juárez; estas pinturas se conservan en la sacristía y en la sala capitular.
Oleo monumental de la transfiguración:
Oleo Virgen de Guadalupe:

Reliquias:
Reliquias de los Mártires: se conservan las reliquias de los Mártires San Pío y San Cristóbal, que se muestran al público en urnas de cristal en una de las capillas de las naves laterales.

Mobiliarios:
Púlpito:
Sillería del coro:
Cátedra del Arzobispo o Silla arzobispal:
Tenebrario:Candelabro en forma de triangulo, realizado en madera labrada, se utiliza para el rezo de los oficios

Otras piezas artísticas: Órgano tubular monumental:
La catedral posee un importante órgano tubular de 4,600 voces o flautas, de principios del siglo XX de fabricación alemana, de estilo Churrigueresco, llamado ""San Gregorio Magno"", en sustitución del antiguo órgano español del siglo XVIII del cual solo se conservan sus fachadas labradas en madera y que decoran al órgano electromecánico. En el mes de mayo se lleva a cabo el Festival Internacional de Órgano de Morelia como parte de la celebración del aniversario de la ciudad. El festival ha estado a cargo del decano y maestro el organista Alfonso Vega Núñez quien ha invitado a ejecutar conciertos a importantes organistas de todo del mundo, entre los que se destaca el francés Jean Guillou. Algunas de las presentaciones cuentan con la participación de la Orquesta Sinfónica del Estado de Michoacán."
